mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	3/4	2	1	b.i		b	i		i		i							m	1	1	0, -3, 1		0	0
1	1	1/2	1/2	3/4	2	1	i6		b	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
2	2	0	0	3/4	2	1	iv		b	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
2	2	1/2	1/2	3/4	2	1	V		b	i		V		V							M	1	1	1, 5, 2		1	1
2	2	5/8	5/8	3/4	2	1	V7		b	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
3	3	0	0	3/4	2	1	i		b	i		i		i							m	1	1	0, -3, 1		0	0
3	3	1/4	1/4	3/4	2	1	V/III		b	i		V/III		V				III			M	1	1	-2, 2, -1		-2	-2
3	3	5/8	5/8	3/4	2	1	V6		b	i		V6		V		6					M	1	1	5, 2, 1		1	5
4	4	0	0	3/4	2	1	i		b	i		i		i							m	1	1	0, -3, 1		0	0
4	4	1/4	1/4	3/4	2	1	V(9)/V		b	i		V(9)/V		V			9	V			M	1	1	2, 6, 3	4	2	2
4	4	1/2	1/2	3/4	2	1	V6/V		b	i		V6/V		V		6		V			M	1	1	6, 3, 2		2	6
4	4	5/8	5/8	3/4	2	1	viio/V		b	i		viio/V		vii	o			V			o	1	1	6, 3, 0		6	6
5	5	0	0	3/4	2	1	v(#9)		b	i		v(#9)		v			#9				m	1	1	1, -2, 2	3	1	1
5	5	1/4	1/4	3/4	2	1	v2		b	i		v2		v		2					mm7	1	1	-1, 1, -2, 2		1	-1
5	5	3/8	3/8	3/4	2	1	V2		b	i		V2		V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
5	5	1/2	1/2	3/4	2	1	i6		b	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
6	6	0	0	3/4	2	1	iv(9)		b	i		iv(9)		iv			9				m	1	1	-1, -4, 0	1	-1	-1
6	6	1/4	1/4	3/4	2	1	iv2		b	i		iv2		iv		2					mm7	1	1	-3, -1, -4, 0		-1	-3
6	6	3/8	3/8	3/4	2	1	V2/V/III		b	i		V2/V/III		V		2		V/III			Mm7	1	1	-3, -1, 3, 0		-1	-3
6	6	1/2	1/2	3/4	2	1	V6/III		b	i		V6/III		V		6		III			M	1	1	2, -1, -2		-2	2
6	6	11/16	11/16	3/4	2	1	V65/III		b	i		V65/III		V		65		III			Mm7	1	1	2, -1, -4, -2		-2	2
7	7	0	0	3/4	2	1	III(9)		b	i		III(9)		III			9				M	1	1	-3, 1, -2	-1	-3	-3
7	7	1/8	1/8	3/4	2	1	III		b	i		III		III							M	1	1	-3, 1, -2		-3	-3
7	7	1/4	1/4	3/4	2	1	VI		b	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
7	7	3/8	3/8	3/4	2	1	VI+		b	i		VI+		VI	+						+	1	1	-4, 0, 4		-4	-4
7	7	1/2	1/2	3/4	2	1	iv		b	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
8	8	0	0	3/4	2	1	iio65		b	i		iio65		ii	o	65					o7	1	1	-1, -4, -7, 2		2	-1
8	8	1/4	1/4	3/4	2	1	V		b	i		V		V							M	1	1	1, 5, 2		1	1
8	8	3/8	3/8	3/4	2	1	V(9)		b	i		V(9)		V			9				M	1	1	1, 5, 2	-4	1	1
